name,link,port_size,port_type,deglon,deglat,lon,lat
Banyuls-sur-Mer,http://www.worldportsource.com/ports/FRA_Banyuls_sur_Mer_5024.php,Small,Marina,"3° 8' 5"" E","42° 28' 51"" N",3.134722,42.480833
Mairie de Barfleur,http://www.worldportsource.com/ports/FRA_Mairie_de_Barfleur_5540.php,Small,Harbor,"1° 15' 40"" W","49° 40' 16"" N",1.261111,49.671111
Port of Carteret,http://www.worldportsource.com/ports/FRA_Port_of_Carteret_5542.php,Small,"Pier, Jetty or Wharf","1° 47' 22"" W","49° 22' 17"" N",1.789444,49.371389
Port of Basse Indre,http://www.worldportsource.com/ports/FRA_Port_of_Basse_Indre_4437.php,Very Small,"Pier, Jetty or Wharf","1° 40' 48"" W","47° 11' 54"" N",1.68,47.198333
Port of Bassens,http://www.worldportsource.com/ports/FRA_Port_of_Bassens_4432.php,Medium,River Port,"0° 32' 17"" W","44° 54' 18"" N",0.538056,44.905
Port of Bastia,http://www.worldportsource.com/ports/FRA_Port_of_Bastia_2712.php,Small,Harbor,"9° 27' 15"" E","42° 41' 56"" N",9.454167,42.698889
Port of Bayonne,http://www.worldportsource.com/ports/FRA_Port_of_Bayonne_1021.php,Medium,Seaport,"1° 29' 59"" W","43° 31' 11"" N",1.499722,43.519722
Port de Beaulieu,http://www.worldportsource.com/ports/FRA_Port_de_Beaulieu_5629.php,Small,Harbor,"7° 20' 13"" E","43° 42' 32"" N",7.336944,43.708889
Port des Fourmis,http://www.worldportsource.com/ports/FRA_Port_des_Fourmis_5630.php,Very Small,Harbor,"7° 19' 56"" E","43° 42' 12"" N",7.332222,43.703333
Port Benodet,http://www.worldportsource.com/ports/FRA_Port_Benodet_5032.php,Small,Harbor,"4° 6' 54"" W","47° 52' 26"" N",4.115,47.873889
Port of Berry-au-Bac,http://www.worldportsource.com/ports/FRA_Port_of_Berry_au_Bac_5235.php,Small,River Port,"3° 54' 32"" E","49° 23' 59"" N",3.908889,49.399722
Port of Biarritz,http://www.worldportsource.com/ports/FRA_Port_of_Biarritz_5565.php,Very Small,Harbor,"1° 33' 53"" W","43° 29' 0"" N",1.564722,43.483333
Port of Binic,http://www.worldportsource.com/ports/FRA_Port_of_Binic_4905.php,Small,Harbor,"2° 49' 15"" W","48° 36' 5"" N",2.820833,48.601389
Port of Blaye,http://www.worldportsource.com/ports/FRA_Port_of_Blaye_4430.php,Small,River Port,"0° 39' 39"" W","45° 7' 10"" N",0.660833,45.119444
Port of Bonifacio,http://www.worldportsource.com/ports/FRA_Port_of_Bonifacio_2721.php,Small,Harbor,"9° 9' 28"" E","41° 23' 20"" N",9.157778,41.388889
Port de Bonneuil,http://www.worldportsource.com/ports/FRA_Port_de_Bonneuil_2746.php,Small,River Port,"2° 29' 18"" E","48° 46' 54"" N",2.488333,48.781667
Port of Bonnieres sur Seine,http://www.worldportsource.com/ports/FRA_Port_of_Bonnieres_sur_Seine_4438.php,Very Small,River Port,"1° 34' 15"" E","49° 2' 20"" N",1.570833,49.038889
 Port de Bormes-les-Mimosas,http://www.worldportsource.com/ports/FRA__Port_de_Bormes_les_Mimosas_5598.php,Small,Harbor,"6° 21' 51"" E","43° 7' 21"" N",6.364167,43.1225
Port of Boulogne-sur-Mer,http://www.worldportsource.com/ports/FRA_Port_of_Boulogne_sur_Mer_1227.php,Medium,Seaport,"1° 34' 50"" E","50° 43' 25"" N",1.580556,50.723611
Port of Brehat,http://www.worldportsource.com/ports/FRA_Port_of_Brehat_4903.php,Very Small,"Pier, Jetty or Wharf","3° 0' 13"" W","48° 50' 19"" N",3.003611,48.838611
Port Brigneau,http://www.worldportsource.com/ports/FRA_Port_Brigneau_5025.php,Very Small,River Port,"3° 38' 48"" W","47° 46' 58"" N",3.646667,47.782778
Port of Bruyeres-sur-Oise,http://www.worldportsource.com/ports/FRA_Port_of_Bruyeres_sur_Oise_2749.php,Small,River Port,"2° 17' 8"" E","49° 8' 44"" N",2.285556,49.145556
Port of Caen,http://www.worldportsource.com/ports/FRA_Port_of_Caen_1229.php,Medium,River Port,"0° 19' 55"" W","49° 11' 26"" N",0.331944,49.190556
Port of Calais,http://www.worldportsource.com/ports/FRA_Port_of_Calais_1231.php,Medium,Seaport,"1° 51' 1"" E","50° 57' 57"" N",1.850278,50.965833
Port of Calvi,http://www.worldportsource.com/ports/FRA_Port_of_Calvi_2722.php,Small,Harbor,"8° 45' 30"" E","42° 33' 57"" N",8.758333,42.565833
Port of Camaret-sur-Mer,http://www.worldportsource.com/ports/FRA_Port_of_Camaret_sur_Mer_2723.php,Small,Harbor,"4° 35' 35"" W","48° 16' 40"" N",4.593056,48.277778
Port of Cancale,http://www.worldportsource.com/ports/FRA_Port_of_Cancale_4439.php,Very Small,"Pier, Jetty or Wharf","1° 51' 18"" W","48° 40' 9"" N",1.855,48.669167
Port de Cannes,http://www.worldportsource.com/ports/FRA_Port_de_Cannes_2724.php,Small,Harbor,"7° 0' 52"" E","43° 32' 53"" N",7.014444,43.548056
Port du Moure Rouge,http://www.worldportsource.com/ports/FRA_Port_du_Moure_Rouge_5621.php,Small,Harbor,"7° 2' 31"" E","43° 32' 32"" N",7.041944,43.542222
Port Pierre Canto,http://www.worldportsource.com/ports/FRA_Port_Pierre_Canto_5620.php,Small,Harbor,"7° 1' 58"" E","43° 32' 30"" N",7.032778,43.541667
Yacht Club de Cannes,http://www.worldportsource.com/ports/FRA_Yacht_Club_de_Cannes_5619.php,Small,Harbor,"7° 2' 8"" E","43° 32' 12"" N",7.035556,43.536667
Port of Cap-d'Ail,http://www.worldportsource.com/ports/FRA_Port_of_Cap_d_Ail_5632.php,Small,Harbor,"7° 24' 56"" E","43° 43' 28"" N",7.415556,43.724444
Calal de Caronte,http://www.worldportsource.com/ports/FRA_Calal_de_Caronte_4440.php,Small,Canal,"5° 1' 31"" E","43° 24' 12"" N",5.025278,43.403333
Port of Carry-le-Rouet,http://www.worldportsource.com/ports/FRA_Port_of_Carry_le_Rouet_5580.php,Small,Harbor,"5° 9' 9"" E","43° 19' 46"" N",5.1525,43.329444
Port of Cassis,http://www.worldportsource.com/ports/FRA_Port_of_Cassis_5586.php,Small,Harbor,"5° 32' 10"" E","43° 12' 50"" N",5.536111,43.213889
Port of Cavalaire-sur-Mer,http://www.worldportsource.com/ports/FRA_Port_of_Cavalaire_sur_Mer_5600.php,Small,Harbor,"6° 32' 15"" E","43° 10' 16"" N",6.5375,43.171111
Port de Centuri,http://www.worldportsource.com/ports/FRA_Port_de_Centuri_5648.php,Very Small,Harbor,"9° 20' 57"" E","42° 57' 58"" N",9.349167,42.966111
Port of Cerbere,http://www.worldportsource.com/ports/FRA_Port_of_Cerbere_5568.php,Very Small,Harbor,"3° 10' 1"" E","42° 26' 28"" N",3.166944,42.441111
Port de Chantereyne Marina ,http://www.worldportsource.com/ports/FRA_Port_de_Chantereyne_Marina__5039.php,Small,Marina,"1° 37' 21"" W","49° 38' 47"" N",1.6225,49.646389
Port of Cherbourg,http://www.worldportsource.com/ports/FRA_Port_of_Cherbourg_1230.php,Medium,Seaport,"1° 37' 5"" W","49° 39' 8"" N",1.618056,49.652222
Port of Compiegne,http://www.worldportsource.com/ports/FRA_Port_of_Compiegne_5233.php,Small,River Port,"2° 49' 3"" E","49° 25' 2"" N",2.8175,49.417222
Port of Concarneau,http://www.worldportsource.com/ports/FRA_Port_of_Concarneau_2729.php,Small,Harbor,"3° 54' 46"" W","47° 52' 24"" N",3.912778,47.873333
Port of Conde-sur-Marne,http://www.worldportsource.com/ports/FRA_Port_of_Conde_sur_Marne_5236.php,Very Small,River Port,"4° 10' 53"" E","49° 2' 31"" N",4.181389,49.041944
Port of Conflans-fin-d'Oise,http://www.worldportsource.com/ports/FRA_Port_of_Conflans_fin_d_Oise_2753.php,Small,River Port,"2° 5' 20"" E","48° 59' 25"" N",2.088889,48.990278000000004
Port of Cordemais,http://www.worldportsource.com/ports/FRA_Port_of_Cordemais_4441.php,Small,River Port,"1° 53' 4"" W","47° 16' 34"" N",1.884444,47.276111
Port of Corniguel,http://www.worldportsource.com/ports/FRA_Port_of_Corniguel_4442.php,Very Small,"Pier, Jetty or Wharf","4° 6' 14"" W","47° 58' 15"" N",4.103889,47.970833
Port of Coueron,http://www.worldportsource.com/ports/FRA_Port_of_Coueron_4443.php,Very Small,"Pier, Jetty or Wharf","1° 43' 25"" W","47° 12' 30"" N",1.723611,47.208333
Port of Creil,http://www.worldportsource.com/ports/FRA_Port_of_Creil_5232.php,Small,River Port,"2° 30' 32"" E","49° 16' 59"" N",2.508889,49.283056
Port of Dahouet,http://www.worldportsource.com/ports/FRA_Port_of_Dahouet_4906.php,Small,Harbor,"2° 33' 56"" W","48° 34' 40"" N",2.565556,48.577778
Port of Dammarie-les-Lys,http://www.worldportsource.com/ports/FRA_Port_of_Dammarie_les_Lys_2752.php,Small,River Port,"2° 38' 14"" E","48° 31' 48"" N",2.637222,48.53
Port of Deauville,http://www.worldportsource.com/ports/FRA_Port_of_Deauville_2731.php,Small,Harbor,"0° 4' 38"" E","49° 21' 57"" N",0.077222,49.365833
Port of Dieppe,http://www.worldportsource.com/ports/FRA_Port_of_Dieppe_2732.php,Small,Harbor,"1° 5' 15"" E","49° 55' 35"" N",1.0875,49.926389
Port Doelan (Clohars-Carnoet),http://www.worldportsource.com/ports/FRA_Port_Doelan_Clohars_Carnoet__5042.php,Small,Harbor,"3° 36' 28"" W","47° 46' 23"" N",3.607778,47.773056
Port Atlantique de Nantes,http://www.worldportsource.com/ports/FRA_Port_Atlantique_de_Nantes_4445.php,Small,Seaport,"2° 4' 9"" W","47° 18' 23"" N",2.069167,47.306389
Port of Douarnenez,http://www.worldportsource.com/ports/FRA_Port_of_Douarnenez_4911.php,Small,Harbor,"4° 20' 6"" W","48° 5' 38"" N",4.335,48.093889
Port of Ensues-la-Redonne,http://www.worldportsource.com/ports/FRA_Port_of_Ensues_la_Redonne_5583.php,Small,Harbor,"5° 11' 52"" E","43° 19' 54"" N",5.197778,43.331667
Port of Erquy,http://www.worldportsource.com/ports/FRA_Port_of_Erquy_4907.php,Small,Harbor,"2° 28' 31"" W","48° 38' 5"" N",2.475278,48.634722
Port Etel,http://www.worldportsource.com/ports/FRA_Port_Etel_5043.php,Small,Marina,"3° 12' 27"" W","47° 39' 31"" N",3.2075,47.658611
Port d'Evian,http://www.worldportsource.com/ports/FRA_Port_d_Evian_5049.php,Small,Harbor,"6° 36' 6"" E","46° 24' 9"" N",6.601667,46.4025
Port of Evry,http://www.worldportsource.com/ports/FRA_Port_of_Evry_2751.php,Small,River Port,"2° 27' 46"" E","48° 37' 45"" N",2.462778,48.629167
Port of Eze,http://www.worldportsource.com/ports/FRA_Port_of_Eze_5631.php,Very Small,Harbor,"7° 21' 3"" E","43° 42' 58"" N",7.350833,43.716111
Port of Fecamp,http://www.worldportsource.com/ports/FRA_Port_of_Fecamp_2733.php,Small,Harbor,"0° 22' 16"" E","49° 45' 43"" N",0.371111,49.761944
Port of Flamanville,http://www.worldportsource.com/ports/FRA_Port_of_Flamanville_5541.php,Small,Harbor,"1° 51' 38"" W","49° 33' 9"" N",1.860556,49.5525
Port of Fouesnant,http://www.worldportsource.com/ports/FRA_Port_of_Fouesnant_5554.php,Small,Harbor,"3° 58' 34"" W","47° 53' 47"" N",3.976111,47.896389
