ident,total,city,lat,long
SE_1SEHAN,800,Hargshamn,60.1677683,18.4849255
SE_1SEHEL,8839,Helsingborg,56.0441984,12.7040684
SE_1SEHUS,2114,Husum,54.4853638,9.0538156
SE_1SEIGG,946,Iggesund,61.6429635,17.0781216
SE_1SEKAA,1807,Karlskrona,56.1621073,15.5866422
SE_1SEKAN,5534,Karlshamn,56.1701723,14.8631279
SE_1SEKLI,255,Klintehamn,57.3863942,18.2028447
SE_1SEKLR,869,Kalmar,56.6628826,16.3662382
SE_1SEKOG,1047,Köping,59.5137434,15.9970475
SE_1SELAA,541,Landskrona,55.8698007,12.8296734
SE_1SELLA,7355,Luleå,65.5831187,22.1459535
SE_1SEMMA,7813,Malmö,55.6052931,13.0001566
SE_1SENRK,4229,Norrköping,58.5909124,16.1903511
SE_1SEOER,905,Örnsköldsvik,63.2888613,18.7160209
SE_1SEOSK,856,Oskarshamn,57.2632811,16.4443478
SE_1SEPIT,1760,Piteå,65.3134764,21.4899394
SE_1SESDL,2166,Sundsvall,62.3907552,17.3071024
SE_1SESFT,1440,Skellefteå,64.7520185,20.959339
SE_1SESOE,1314,Södertälje,59.1964289,17.6271663
SE_1SESOL,736,Sölvesborg,56.0506535,14.5871906
SE_1SESOO,732,Söderhamn,61.2998501,17.0607599
SE_1SESOR,118,Söråker,62.5045494,17.5086121
SE_1SESTO,4726,Stockholm,59.3251172,18.0710935
SE_1SETRG,11798,Trelleborg,55.37592,13.1461522
SE_1SEUME,1893,Umeå,63.8256568,20.2630745
SE_1SEUND,52,Underås,59.3302778,10.9549056
SE_1SEVBY,761,Visby,57.6379361,18.297982
SE_1SEVST,1638,Västerås,59.6110992,16.5463679
SE_1SEVVK,144,Västervik,57.7594186,16.6385035
SE_1SEYST,3179,Ystad,55.4329849,13.8196555
SE_2SEAMA,18,Åmål,58.983838,12.6126708
SE_2SEFAG,560,Falkenberg,49.0487769,6.5958205
SE_2SEGOT,38890,Göteborg,57.7072326,11.9670171
SE_2SEHAD,1903,Halmstad,56.6739826,12.8574827
SE_2SEKHN,181,Kristinehamn,59.3113619,14.11176
SE_2SEKSD,282,Karlstad,59.3809146,13.5027631
SE_2SELDK,457,Lidköping,58.5037196,13.1576427
SE_2SELYS,95,Lysekil,58.3965726,11.4196339
SE_2SEOTT,355,Otterbäcken,58.9437903,14.0393895
SE_2SESKT,17,Skattkärr,59.4133819,13.674373
SE_2SEUDD,1071,Uddevalla,58.3490555,11.9382855
SE_2SEVAG,2141,Varberg,57.1057412,12.2502949
SE_2SEVAN,84,Vänersborg,58.3811988,12.3226877
SI_0SIKOP,22115,Koper,11.0968195,-2.9290149
UK_1GBABD,4193,Aberdeen,57.1482429,-2.0928095
UK_1GBBEL,18515,Belfast,54.5964411,-5.9302761
UK_1GBBOS,823,Boston,42.3602534,-71.0582912
UK_1GBBRS,8190,Bristol,51.4538022,-2.5972985
UK_1GBCDF,1698,Cardiff,51.4816546,-3.1791934
UK_1GBCYN,2705,Cairnryan,54.9738045,-5.0250851
UK_1GBDUN,505,Dundee,56.4605938,-2.97019
UK_1GBDVR,23432,Dover,51.1251275,1.3134228
UK_1GBFIS,504,Fishguard,51.9938353,-4.97681
UK_1GBFOR,25221,Forth,55.765585,-3.6882358
UK_1GBFOY,346,Fowey,50.3357786,-4.6365952
UK_1GBFXT,25344,Felixstowe,51.9639098,1.3515106
UK_1GBGOO,1278,Goole,53.7035625,-0.8715949
UK_1GBGTY,1287,Great Yarmouth,52.6072426,1.7310768
