ident,city,lat,long
NL_0NLGEN,Gennep,NA,NA
IT_0ITGOA,Genova,44.40726,8.9338624
BE_0BEGNE,Gent (Ghent),51.0538286,3.7250121
EL_0GR857,Gerakas Lakonias,NA,NA
EL_0GRYER,Gerakini,NA,NA
DE,Germany,NA,NA
DE_2DE88O,Germany (Baltic Sea) - other ports,NA,NA
DE_1DE116,Germany (Elbe) - other ports,NA,NA
DE_1DE88N,Germany (North Sea) - other ports,NA,NA
DE_9DE888,Germany (unknown maritime coastal area) - other ports,NA,NA
DE_3DE888,Germany - other inland ports,NA,NA
DE_2,Germany: Baltic Sea,NA,NA
DE_3,Germany: Inland,NA,NA
DE_1,Germany: North Sea,NA,NA
DE_9,Germany: unspecified maritime coastal area,NA,NA
TR_1TRGZE,Gerze,NA,NA
IT_0ITGII,Giannutri,NA,NA
IT_0ITGIA,Giardini di Naxos,NA,NA
DE_1DE118,Gieselaukanal and Eider - other ports,NA,NA
ES_1ESGIJ,Gijón,43.5450394,-5.6626443
UK_1GBILL,Gill's Bay Scotland,NA,NA
IT_0ITGIT,Gioia Tauro,38.423974,15.898995
TR_1TRGIR,Giresun,NA,NA
UK_1GBGIR,Girvan,NA,NA
UK_1GBGSA,Glensanda,NA,NA
EL_0GRGLO,Glossa Skopelou,NA,NA
DE_1DEGLU,Glückstadt,53.7913149,9.4267978
EL_0GRGLY,Glyfa Fthiotidas,NA,NA
TR_2TRGCK,Gocek,NA,NA
FI_0FIGDB,Godby,NA,NA
DE_3DEGDO,Godorf,NA,NA
NL_0NLGDR,Goerdereede,NA,NA
TR_2TRGCA,Gokceada,NA,NA
IT_0ITGAI,Golfo Aranci,NA,NA
UK_1GBGOO,Goole,53.7035625,-0.8715949
IT_0ITGOR,Gorgona,NA,NA
NL_0NLGOR,Gorinchem,NA,NA
SE_2SEGOA,Göta,NA,NA
SE_2SEGOT,Göteborg,57.7072326,11.9670171
IT_0ITGRD,Grado,NA,NA
SE_1SEGKV,Grankullavik,NA,NA
FR_1FRGFR,Granville,NA,NA
NO_0NOGRV,Granvin,NA,NA
DK_0DKGRA,Gråsten,NA,NA
FR_1FRGRV,Gravelines,NA,NA
UK_1GBGTY,Great Yarmouth,52.6072426,1.7310768
SE_2SEGRE,Grebbestad,NA,NA
EL,Greece,NA,NA
EL_0GR88Q,Greece (aggregates extraction areas) - other ports,NA,NA
EL_0GR88P,Greece (offshore installations) - other ports,NA,NA
EL_0GR888,Greece - other ports,NA,NA
IE_0IEGRN,Greenore,NA,NA
DE_2DEGRD,Greifswald,54.095791,13.3815238
DK_0DKGRE,Grenå,56.4134419,10.8793137
IS_0ISGRY,Grímsey,NA,NA
NO_0NOGTD,Grimstad,NA,NA
IS_0ISGRI,Grindavík,NA,NA
SE_1SEGRH,Grisslehamn,60.0981769,18.8058527
DE_1DEGXR,Gröde,54.6353936,8.724363353438491
NL_0NLGRQ,Groningen,NA,NA
IS_0ISGRF,Grundarfjörður,NA,NA
IS_0ISGRT,Grundartangi,NA,NA
SE_2SEGRU,Gruvön,NA,NA
NO_0NOGUL,Gulen,NA,NA
DK_0DKGFH,Gulfhavnen,NA,NA
TR_2TRGUL,Gulluk,NA,NA
SE_1SEGUN,Gunnebo,NA,NA
SE_1SEGUB,Gustavsberg,NA,NA
EL_0GRGYT,Gytheio,NA,NA
NO_0NOHAA,Hå,NA,NA
DK_0DKHAD,Haderslev,NA,NA
NO_0NOHAD,Hadsel,NA,NA
DK_0DKHSU,Hadsund,NA,NA
IS_0ISHAF,Hafnarfjörður,NA,NA
NO_0NOHAL,Halden,NA,NA
SE_1SEHAK,Hallstavik,NA,NA
SE_2SEHAD,Halmstad,56.6739826,12.8574827
DK_0DKHAS,Hals,NA,NA
DE_1DEHAM,Hamburg,53.550341,10.000654
FI_0FIHMN,Hamina,NA,NA
FI_0FI002,HaminaKotka,NA,NA
