year,origin,dest,sitc4,export_val,import_val
1980,wld,usa,3222,30961000.00,160670000.00
1980,wld,aus,3222,0.00,3315000.00
1980,wld,chl,3222,26115000.00,0.00
1980,wld,wld,3222,191631000.00,191631000.00
1981,zaf,usa,3222,28833000.00,0.00
1981,zaf,wld,3222,28833000.00,0.00
1981,chn,usa,3222,0.00,2651000.00
1981,chn,wld,3222,0.00,2651000.00
1981,ind,usa,3222,0.00,3895000.00
1981,ind,wld,3222,0.00,3895000.00
1981,twn,usa,3222,0.00,116811000.00
1981,twn,wld,3222,0.00,116811000.00
1981,alb,usa,3222,0.00,5598000.00
1981,alb,wld,3222,0.00,5598000.00
1981,gib,usa,3222,0.00,18298000.00
1981,gib,wld,3222,0.00,18298000.00
1981,rou,usa,3222,0.00,40948000.00
1981,rou,wld,3222,0.00,40948000.00
1981,bhs,usa,3222,0.00,1434000.00
1981,bhs,wld,3222,0.00,1434000.00
1981,can,usa,3222,3259000.00,0.00
1981,can,wld,3222,3259000.00,0.00
1981,mex,usa,3222,0.00,26513000.00
1981,mex,wld,3222,0.00,26513000.00
1981,usa,zaf,3222,0.00,28833000.00
1981,usa,chn,3222,2651000.00,0.00
1981,usa,ind,3222,3895000.00,0.00
1981,usa,twn,3222,116811000.00,0.00
1981,usa,alb,3222,5598000.00,0.00
1981,usa,gib,3222,18298000.00,0.00
1981,usa,rou,3222,40948000.00,0.00
1981,usa,bhs,3222,1434000.00,0.00
1981,usa,can,3222,0.00,3259000.00
1981,usa,mex,3222,26513000.00,0.00
1981,usa,aus,3222,0.00,984000.00
1981,usa,chl,3222,7787000.00,0.00
1981,usa,per,3222,1335000.00,0.00
1981,usa,wld,3222,225270000.00,33076000.00
1981,aus,usa,3222,984000.00,0.00
1981,aus,wld,3222,984000.00,0.00
1981,chl,usa,3222,0.00,7787000.00
1981,chl,wld,3222,0.00,7787000.00
1981,per,usa,3222,0.00,1335000.00
1981,per,wld,3222,0.00,1335000.00
1981,wld,zaf,3222,0.00,28833000.00
1981,wld,chn,3222,2651000.00,0.00
1981,wld,ind,3222,3895000.00,0.00
1981,wld,twn,3222,116811000.00,0.00
1981,wld,alb,3222,5598000.00,0.00
1981,wld,gib,3222,18298000.00,0.00
1981,wld,rou,3222,40948000.00,0.00
1981,wld,bhs,3222,1434000.00,0.00
1981,wld,can,3222,0.00,3259000.00
1981,wld,mex,3222,26513000.00,0.00
1981,wld,usa,3222,33076000.00,225270000.00
1981,wld,aus,3222,0.00,984000.00
1981,wld,chl,3222,7787000.00,0.00
1981,wld,per,3222,1335000.00,0.00
1981,wld,wld,3222,258346000.00,258346000.00
1982,dza,usa,3222,0.00,60640000.00
1982,dza,wld,3222,0.00,60640000.00
1982,zaf,usa,3222,21345000.00,0.00
1982,zaf,wld,3222,21345000.00,0.00
1982,chn,usa,3222,0.00,2923000.00
1982,chn,wld,3222,0.00,2923000.00
1982,ind,usa,3222,0.00,1288000.00
1982,ind,wld,3222,0.00,1288000.00
1982,kor,usa,3222,0.00,103553000.00
1982,kor,wld,3222,0.00,103553000.00
1982,twn,usa,3222,0.00,93854000.00
1982,twn,wld,3222,0.00,93854000.00
1982,alb,usa,3222,0.00,15023000.00
1982,alb,wld,3222,0.00,15023000.00
1982,rou,usa,3222,0.00,17335000.00
1982,rou,wld,3222,0.00,17335000.00
1982,bhs,usa,3222,0.00,799000.00
1982,bhs,wld,3222,0.00,799000.00
1982,can,usa,3222,3101000.00,0.00
1982,can,wld,3222,3101000.00,0.00
1982,hti,usa,3222,0.00,252000.00
1982,hti,wld,3222,0.00,252000.00
1982,mex,usa,3222,0.00,25494000.00
1982,mex,wld,3222,0.00,25494000.00
1982,usa,dza,3222,60640000.00,0.00
1982,usa,zaf,3222,0.00,21345000.00
1982,usa,chn,3222,2923000.00,0.00
1982,usa,ind,3222,1288000.00,0.00
1982,usa,kor,3222,103553000.00,0.00
1982,usa,twn,3222,93854000.00,0.00
1982,usa,alb,3222,15023000.00,0.00
1982,usa,rou,3222,17335000.00,0.00
1982,usa,bhs,3222,799000.00,0.00
1982,usa,can,3222,0.00,3101000.00
1982,usa,hti,3222,252000.00,0.00
1982,usa,mex,3222,25494000.00,0.00
1982,usa,aus,3222,0.00,1306000.00
1982,usa,chl,3222,5202000.00,0.00
1982,usa,wld,3222,326363000.00,25752000.00
1982,aus,usa,3222,1306000.00,0.00
1982,aus,wld,3222,1306000.00,0.00
1982,chl,usa,3222,0.00,5202000.00
1982,chl,wld,3222,0.00,5202000.00
1982,wld,dza,3222,60640000.00,0.00
1982,wld,zaf,3222,0.00,21345000.00
1982,wld,chn,3222,2923000.00,0.00
1982,wld,ind,3222,1288000.00,0.00
1982,wld,kor,3222,103553000.00,0.00
1982,wld,twn,3222,93854000.00,0.00
1982,wld,alb,3222,15023000.00,0.00
1982,wld,rou,3222,17335000.00,0.00
1982,wld,bhs,3222,799000.00,0.00
1982,wld,can,3222,0.00,3101000.00
1982,wld,hti,3222,252000.00,0.00
1982,wld,mex,3222,25494000.00,0.00
1982,wld,usa,3222,25752000.00,326363000.00
1982,wld,aus,3222,0.00,1306000.00
1982,wld,chl,3222,5202000.00,0.00
1982,wld,wld,3222,352115000.00,352115000.00
1983,egy,usa,3222,0.00,21500000.00
1983,egy,wld,3222,0.00,21500000.00
1983,zaf,usa,3222,30188000.00,0.00
1983,zaf,wld,3222,30188000.00,0.00
1983,kor,usa,3222,2551000.00,91571000.00
1983,kor,wld,3222,2551000.00,91571000.00
1983,twn,usa,3222,0.00,80825000.00
1983,twn,wld,3222,0.00,80825000.00
1983,alb,usa,3222,0.00,3463000.00
1983,alb,wld,3222,0.00,3463000.00
1983,rou,usa,3222,0.00,16145000.00
1983,rou,wld,3222,0.00,16145000.00
1983,can,usa,3222,4552000.00,0.00
1983,can,wld,3222,4552000.00,0.00
1983,cri,usa,3222,0.00,120000.00
1983,cri,wld,3222,0.00,120000.00
1983,hti,usa,3222,0.00,1585000.00
1983,hti,wld,3222,0.00,1585000.00
1983,mex,usa,3222,0.00,3603000.00
1983,mex,wld,3222,0.00,3603000.00
1983,usa,egy,3222,21500000.00,0.00
1983,usa,zaf,3222,0.00,30188000.00
1983,usa,kor,3222,91571000.00,2551000.00
1983,usa,twn,3222,80825000.00,0.00
1983,usa,alb,3222,3463000.00,0.00
1983,usa,rou,3222,16145000.00,0.00
1983,usa,can,3222,0.00,4552000.00
1983,usa,cri,3222,120000.00,0.00
1983,usa,hti,3222,1585000.00,0.00
1983,usa,mex,3222,3603000.00,0.00
